feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
C18n_QI6575	diagnosis	UC	12.798161844978	1.58371730783378	388	203	1.61019690805003e-12	8.11391015967423e-10
C18n_QI3061	diagnosis	UC	13.1684757040985	1.63288888948348	388	216	1.62278203193485e-12	8.11391015967423e-10
HILn_QI1058	diagnosis	UC	13.9588782857453	1.77039605585438	388	176	3.86854047136862e-12	1.28951349045621e-09
C18n_QI3676	diagnosis	UC	12.9884297685723	1.72647275864543	388	135	2.24665892427877e-11	5.61664731069693e-09
C18n_QI201	diagnosis	UC	13.5464154752444	1.81807767933631	388	197	3.39134944593471e-11	6.78269889186942e-09
HILp_QI8712	diagnosis	UC	15.3065681278269	2.09283512728611	388	223	7.15603882928433e-11	1.19267313821406e-08
HILn_QI999	diagnosis	UC	13.7598233124307	1.9125868801628	388	155	1.13744548134981e-10	1.47829627980974e-08
HILp_QI4857	diagnosis	UC	11.8644825568595	1.64971126747654	388	147	1.18263702384779e-10	1.47829627980974e-08
HILp_QI1201	diagnosis	UC	14.3776185983125	2.01495054456463	388	137	1.49522711587549e-10	1.66136346208388e-08
HILn_QI1296	diagnosis	UC	14.2706932254968	2.03203847138819	388	163	2.59985183522338e-10	2.59985183522338e-08
HILp_QI9491	diagnosis	UC	11.5472240647803	1.64650998682499	388	153	2.91214500798122e-10	2.6474045527102e-08
HILp_QI8656	diagnosis	UC	13.6334365896202	1.95695953946269	388	156	3.53566040281891e-10	2.94638366901576e-08
HILp_QI8713	diagnosis	UC	13.8761518434477	1.99510671900704	388	177	3.84402126047761e-10	2.95693943113663e-08
HILp_QI9439	diagnosis	UC	13.1557862873563	1.90179334160489	388	136	4.48289840046506e-10	3.20207028604647e-08
HILn_QI1278	diagnosis	UC	11.5340261936436	1.67458284451251	388	141	5.61410036237961e-10	3.30241197787036e-08
C18n_QI1037	diagnosis	UC	11.6673033894745	1.69817456950161	388	199	5.46670501726031e-10	3.30241197787036e-08
C18n_QI6117	diagnosis	UC	11.7640135482772	1.71010449439012	388	155	5.2233264024745e-10	3.30241197787036e-08
C18n_QI728	diagnosis	UC	12.809171706029	1.8731313349225	388	209	6.47324614100368e-10	3.59624785611315e-08
HILp_QI25039	diagnosis	UC	10.834513770188	1.59850844875789	388	117	9.13430275814021e-10	4.80752776744221e-08
HILn_QI1323	diagnosis	UC	11.7608621853744	1.74485869606453	388	142	1.01719338835955e-09	4.86793440593924e-08
HILp_QI8769	diagnosis	UC	11.0273776682431	1.63066567367766	388	185	1.03104509192343e-09	4.86793440593924e-08
HILn_QI2332	diagnosis	UC	10.7309706118742	1.5890331842488	388	195	1.07094556930663e-09	4.86793440593924e-08
HILn_QI1119	diagnosis	UC	14.3756452573067	2.14822027285849	388	143	1.29882409940401e-09	5.64706130175654e-08
C18n_QI3804	diagnosis	UC	11.3177172434818	1.69463305541018	388	291	1.39878415107617e-09	5.82826729615072e-08
HILp_QI15737	diagnosis	UC	12.0960770727884	1.81342857584442	388	310	1.58992873359901e-09	5.88862493925559e-08
C18n_QI5195	diagnosis	UC	12.0234058113877	1.80586180737441	388	178	1.51775867901247e-09	5.88862493925559e-08
HILp_QI10719	diagnosis	UC	11.8040411066792	1.77345185919167	388	135	1.53389109107424e-09	5.88862493925559e-08
HILp_QI10676	diagnosis	UC	11.8109882196969	1.78921708245368	388	146	1.9756224288326e-09	7.05579438868784e-08
HILp_TF16	diagnosis	UC	15.7255324555534	2.40164861533533	388	123	2.54359671470237e-09	8.7710231541461e-08
C18n_QI8349	diagnosis	UC	11.8547829778089	1.81727918564111	388	152	2.88279661151128e-09	9.60932203837092e-08
HILp_QI13140	diagnosis	UC	11.5076151245307	1.76937437950762	388	132	3.22097628018977e-09	1.03902460651283e-07
HILp_QI13144	diagnosis	UC	11.185715477126	1.72637386931426	388	118	3.53306784876327e-09	1.10408370273852e-07
HILp_QI18406	diagnosis	UC	12.2990325639086	1.91120444410901	388	185	4.3398362020774e-09	1.23607086365471e-07
HILp_QI8849	diagnosis	UC	12.5170678369492	1.94111567974962	388	172	4.15332206163919e-09	1.23607086365471e-07
HILp_QI25015	diagnosis	UC	11.2873824723726	1.75664972757906	388	159	4.6452288491328e-09	1.23607086365471e-07
HILn_QI1847	diagnosis	UC	11.3698762332399	1.76905965080851	388	193	4.58338033853068e-09	1.23607086365471e-07
C18n_QI1744	diagnosis	UC	10.9661098495967	1.70841686693282	388	217	4.69877633549555e-09	1.23607086365471e-07
HILp_QI13839	diagnosis	UC	11.066036306091	1.72631623164945	388	137	4.82067636825338e-09	1.23607086365471e-07
HILp_QI25040	diagnosis	UC	10.5880866971715	1.64598906057756	388	160	4.62659640302879e-09	1.23607086365471e-07
HILp_QI16668	diagnosis	UC	10.8219061143477	1.68878733038623	388	126	5.36110088591217e-09	1.34027522147804e-07
HILp_QI13142	diagnosis	UC	11.3893972690019	1.78621064072561	388	124	5.72809857743372e-09	1.39709721400822e-07
HILp_QI19842	diagnosis	UC	9.94605446203695	1.56636807434889	388	226	5.98705179743861e-09	1.42548852319967e-07
HILp_QI9441	diagnosis	UC	11.2588566891096	1.78343806230004	388	200	7.54376380414095e-09	1.75436367538162e-07
C18n_QI12808	diagnosis	UC	10.5920848821293	1.67853172304384	388	158	8.10644985540015e-09	1.8423749671364e-07
HILp_QI13199	diagnosis	UC	11.4481649476969	1.82514003581164	388	122	9.24062159288789e-09	1.96791398135021e-07
HILp_QI9316	diagnosis	UC	10.9820128194093	1.74892450548725	388	120	9.00451459715938e-09	1.96791398135021e-07
C18n_QI9442	diagnosis	UC	10.0177049741724	1.5962254126292	388	203	9.24919571234601e-09	1.96791398135021e-07
C18n_QI5741	diagnosis	UC	11.2864266426192	1.82212390266337	388	176	1.28580568476102e-08	2.67876184325212e-07
HILn_QI1184	diagnosis	UC	11.4215917334484	1.85126760626979	388	207	1.44985025119858e-08	2.95887806367057e-07
HILp_QI13561	diagnosis	UC	10.2400794186028	1.66577297804659	388	176	1.64917907238216e-08	3.29835814476432e-07
HILp_QI13680	diagnosis	UC	10.5267689637414	1.71555130767355	388	145	1.7450669410036e-08	3.42169988432079e-07
HILp_QI12706	diagnosis	UC	10.0538258362755	1.6630230060768	388	108	2.67954901623783e-08	5.15297887738044e-07
HILp_QI13141	diagnosis	UC	10.9433118288699	1.82300854745738	388	130	3.17087941539258e-08	5.9586148577915e-07
HILp_QI13845	diagnosis	UC	9.7889840069253	1.6299254603744	388	187	3.21765202320741e-08	5.9586148577915e-07
C18n_QI2510	diagnosis	UC	10.4199327680984	1.73754794689928	388	142	3.2776150717808e-08	5.95930013051055e-07
HILn_QI1931	diagnosis	UC	11.1167046188451	1.86196040713361	388	262	3.62157338014354e-08	6.46709532168489e-07
HILp_QI14988	diagnosis	UC	10.6170596200067	1.78460043982835	388	121	4.06658160863314e-08	7.01134760109162e-07
HILp_QI13563	diagnosis	UC	10.0324308140147	1.68372685527227	388	191	4.00987588642949e-08	7.01134760109162e-07
C18n_QI6244	diagnosis	UC	10.8887014192803	1.84208343236728	388	212	4.84818479407767e-08	8.21726236284351e-07
HILn_QI1484	diagnosis	UC	11.9050218926698	2.01694871995585	388	175	5.06316509638474e-08	8.30027064981105e-07
HILp_QI12520	diagnosis	UC	9.73964829321821	1.64880615843471	388	190	5.00401935184398e-08	8.30027064981105e-07
HILp_QI21861	diagnosis	UC	11.0254106410622	1.87392611319031	388	193	5.55975380617717e-08	8.96734484867286e-07
C18n_QI7175	diagnosis	UC	10.3151488471192	1.76496925039125	388	169	6.54507961713889e-08	1.02266869017795e-06
HILn_QI1552	diagnosis	UC	10.1613009692418	1.73933095832661	388	142	6.52709851096508e-08	1.02266869017795e-06
HILp_QI13846	diagnosis	UC	9.49672952402071	1.62746745848806	388	272	7.63669417280149e-08	1.17487602658484e-06
